stop,degree,clusterring_coefficient,closeness,betwennesses,page_rank
Bukowina,4,0.0,0.040176908752327746,0.010916007309167194,0.0009936974854998432
Bukowina - skrzy.,6,0.0,0.0417856969931729,0.06106965197145948,0.0013843732791820433
Pasikurowice - n/ż,6,0.16666666666666666,0.03869087648509303,0.012902683045080066,0.001510049218660542
Bąków,4,0.0,0.040227474012958564,0.04677844223976398,0.0008957845069521197
Domaszczyn -Trzebnicka,4,0.0,0.043403912890408895,0.06216790900931104,0.0009593701677149371
Bukowskiego,4,0.0,0.061093019963188444,0.0036370500044625954,0.0008002116611280582
RACŁAWICKA,6,0.0,0.0618372026368587,0.00402548570535562,0.0011880017529962937
Stanki,4,0.0,0.06055290485545888,0.00369227584712288,0.0006823530666697981
Bulwar Dedala,4,0.0,0.059876500381599945,0.003997282810497895,0.0008729451928532218
Bystrzycka,6,0.0,0.057391766974795505,0.016176876149870074,0.0012912553748846717
Szybowcowa,6,0.23076923076923078,0.06308018419706161,0.04578321120656567,0.0011769825606757214
Byków - Jaśminowa,2,0.5,0.03762972006627714,0.005070712339103776,0.0005944038590050733
Kamień Diamentowa,5,0.0,0.038012597454080956,0.008199288619798737,0.0021315345117390873
Hynka,4,0.0,0.05910149294617176,0.013381570918976952,0.0009328718615045441
KUŹNIKI (Stacja kolejowa),6,0.0,0.05578899734953779,0.03172548526662899,0.001235901231781799
Bzowa (Centrum Zajezdnia),4,0.0,0.06261790741546945,0.002741333161259357,0.0009378724498892917
Hutmen,4,0.0,0.06383136094674556,0.003650049443893824,0.0008626283392300823
pl. Srebrny,4,0.0,0.06339528391978257,0.0031271617983388046,0.0009356336343656354
Łozina - Wrocławska (na wys. nr 18),6,0.23076923076923078,0.038796978960618594,0.04476418685445095,0.0011644740002568108
Błonie,4,0.0,0.03490394337714863,0.008347022338843886,0.001427492980862678
Wróblowice,4,0.0,0.03611483093404754,0.010565044508311533,0.001637578983851763
Źródła,4,0.0,0.033808665674214526,0.006187251256655187,0.001312731297916636
Zielna,4,1.0,0.06303871439006574,0.0,0.000904227577332291
Ceglana,10,0.2073170731707317,0.051831831831831834,0.019508257011610613,0.0018378200314356505
Gospodarska,4,0.0,0.04933966039677549,0.015067170615220192,0.0008314787424868941
Kowalska,7,0.2777777777777778,0.05242057948126101,0.01277102513475547,0.001270728305564566
Kowalska I,5,0.625,0.050107414503861115,0.00031565368025888573,0.0010429938114773665
Monopolowa,8,0.18,0.05304566967852972,0.027119834731948053,0.0014616695993765968
Volvo,5,0.45,0.05180382976169038,0.0013323816001842483,0.001384255606802046
Centrum Zarządzania Kryzysowego,4,0.0,0.05995137200416811,0.004153120434260369,0.0009304336440941652
Nowodworska,8,0.14,0.06362429961663227,0.08265142378507682,0.0015326856171385956
Otyńska,4,0.0,0.058377866468240544,0.0025605029706472983,0.0010144160925673004
Cesarzowice skrz.,4,0.0,0.05791557613582981,0.005748659705092986,0.0011274157863041707
Jaszkotle - kościół,4,0.0,0.058401570007444004,0.0049500623856265314,0.0010820295699431966
Mokronos Dolny - Parkowa/Stawowa,4,0.0,0.05769487899451799,0.0070136554060173115,0.0011622167246287105
Chełmońskiego,4,0.0,0.05899241233166997,0.006932290512025751,0.0008738710170118207
Piramowicza,4,0.0,0.05594813614262561,0.004788426457517035,0.0009169215236553239
Tramwajowa,8,0.16666666666666666,0.06252716997536589,0.01838718926055674,0.0014614976863397623
Semaforowa,2,0.5,0.04352211407534419,0.0010966450025164118,0.0006283452463477895
Chociebuska,6,0.0,0.059097445730329386,0.04449943182941235,0.0011886152617130968
Hermanowska,4,0.0,0.05718261330506229,0.019690727588066014,0.0008344925768337052
Nowy Dwór,6,0.0,0.061275205907412665,0.07676749038659478,0.0011851989798199686
Nowy Dwór (Rogowska),6,0.3333333333333333,0.05687734792064852,0.02173607140870348,0.0011454297452894243
Chopina,4,0.0,0.06853013578972444,0.0027190125329005195,0.0008660016589625427
Karłowicza,4,0.0,0.06446071108455333,0.0008799816836409249,0.0009793453487002297
Chwałkowska,4,0.0,0.045138344055651446,0.036902249138476555,0.0010548079664256182
Wełniana,4,0.0,0.04386277001270648,0.03542979607765078,0.0010192612775500075
Chłodna,4,0.0,0.06247737638456526,0.0011189683593927939,0.0008489075568553812
Sowia,6,0.3333333333333333,0.06640504770698677,0.0030426436919396773,0.0011726705774218486
Wawrzyniaka,6,0.3333333333333333,0.0626315407504173,0.0009873203347244425,0.001210728642852047
Ciechocińska,6,0.3333333333333333,0.040064995357474466,0.00964590681567959,0.001300690425112648
Stabłowice,6,0.3333333333333333,0.04049171866935673,0.009016798585011837,0.0013253842387159218
Śnieżna,4,0.0,0.04153831343858298,0.011642007963769529,0.0008719277928885502
Cynamonowa,4,0.0,0.04677253265405669,0.0046296171828161085,0.0011319451592892017
Tymiankowa,6,0.3333333333333333,0.049053600863979994,0.0069363602390624625,0.0014983854095510037
Waniliowa,4,0.0,0.044689555175806535,0.002317497103128621,0.0012559800364046443
Czajkowskiego,4,0.0,0.05887569927684541,0.011116323836613765,0.0008996562297883682
KOSZAROWA (Uniwersytet),2,0.0,0.05561642069987755,0.0006400898321382899,0.00042851370955114906
Koszarowa,4,0.0,0.055706170926930025,0.01217380511337006,0.000858496431250142
Kromera (Czajkowskiego),5,0.5,0.07104634889273072,0.002901128189135007,0.0011076694267906338
Czerna,2,0.0,0.03081812662928972,0.0,0.0006913380556853692
Wilkostów,4,0.0,0.031796912420323495,0.002317497103128621,0.0012181810460570768
DH Astra,7,0.3888888888888889,0.06835102170125139,0.17956951133791585,0.0011670597052417415
Kolista,15,0.21428571428571427,0.06975992239915932,0.12627596384412584,0.002418772063049433
Kwiska,16,0.18584070796460178,0.07045473099844886,0.2821284577100825,0.002125937838144863
DW. ŚWIEBODZKI,4,0.2,0.0739249614528011,0.006785077066962109,0.0009523401694120116
Robotnicza,4,0.0,0.06891319971252895,0.00506925727442967,0.0009587877967638057
Dworzec Główny (Stawowa),5,0.3,0.07590817134312604,0.07856663866762846,0.0007098516592602194
Kościuszki,9,0.10606060606060606,0.07299331810877104,0.018207123497482578,0.0013531026838025193
Krasińskiego,2,0.5,0.07101127293672345,0.00018004785626798945,0.00037760523468854853
Wzgórze Partyzantów,10,0.27380952380952384,0.07625695855792171,0.003697799773577898,0.0014646055828618305
DWORZEC GŁÓWNY,17,0.18316831683168316,0.0752791346824843,0.08010208672172614,0.0018205876594544754
Dyrekcyjna,3,1.0,0.06771814187068424,0.0,0.0004403791982605747
Hubska (Dawida),8,0.16666666666666666,0.06879234754882423,0.02062801431203507,0.0012651304235505034
Joannitów,7,0.4444444444444444,0.06869925171151091,0.0009932134188327,0.0013546427398913351
Sanocka,8,0.4,0.06863368856370287,0.0014103166178640679,0.0014707207288581546
Pułaskiego,4,0.5,0.07072031467671884,0.0007247299571195324,0.0006158953824727777
DWORZEC NADODRZE,11,0.0625,0.07152328857947952,0.008393254024864115,0.0020964529946770113
PL. STASZICA,8,0.16666666666666666,0.0736725285982585,0.03308799546048355,0.0015522557266965467
Paulińska,4,0.0,0.07310461668784414,0.002782530279961382,0.0008612261657410118
Słowiańska,7,0.3333333333333333,0.07162420117852104,0.004090705648763424,0.0012254785274855256
Damrota,2,1.0,0.07176715176715177,0.0,0.00044107867763492676
Daszyńskiego,4,0.0,0.06909527622097678,0.00010132133191977476,0.0007143616258142813
Mosty Warszawskie,5,0.25,0.0700089235012574,0.0009055867657626482,0.0008057904295089309
Nowowiejska,11,0.08,0.07271654870239298,0.01222143878412839,0.0018379013314253323
Dmowskiego,6,0.16666666666666666,0.07616946160635481,0.029172101045790603,0.0013899724629608376
Długa,7,0.21052631578947367,0.07504347826086956,0.10655354825702616,0.0015242111287548331
PL. JANA PAWŁA II,15,0.0273972602739726,0.07968605724838412,0.20891749922998162,0.0030573055443929224
Pomorska,9,0.3333333333333333,0.07643255690372863,0.06617819613376633,0.00194474017580976
Dobroszów Oleśnicki,4,0.0,0.03437151505496256,0.009273043248505208,0.0012676653940725056
Dobroszów-skrzy. Węgierska,5,0.0,0.035550978372811536,0.012068871395251334,0.001481004858347747
Januszkowice - Wrocławska,4,0.0,0.03327036508732025,0.0070798898124528045,0.0010932405133261248
Dąbrowica,4,0.0,0.034334593196737616,0.005259042585129483,0.0012034931789023488
Dolnobrzeska,4,0.1,0.03723358357062732,0.025145853453549447,0.0012277342070868818
Mokra,4,0.1,0.036004839584463266,0.021875099711365104,0.0011921265002227534
Dolnośląska Szkoła Wyższa,4,0.0,0.05959944751381215,0.002832400522558504,0.0010428072181258312
Fabryczna,4,0.0,0.05863568419622231,0.0022272676869541054,0.0010479310181556918
Wrocławski Park Przemysłowy,4,0.0,0.061511047754811116,0.003995358924963352,0.0009972362924671786
Domaszczyn - skrzy.,6,0.3333333333333333,0.045171421093954466,0.06425217772068048,0.001388893979419698
Domaszczyn Stawowa,8,0.16666666666666666,0.0452116512992456,0.036048920073917884,0.0019278821482105878
Pruszowice - las,6,0.3333333333333333,0.04696087500680198,0.10026175590642071,0.0014042667901234885
Domaszczyn Kościół,4,0.0,0.041980833779247946,0.02997359838815614,0.0012134851185131399
Domaszczyn Wrocławska Skrzyżowanie,4,0.0,0.04350675539423271,0.03188926967603307,0.0010990172429739444
