source,target,night_tram,night_bus,d .875
Bielany Wrocławskie - Kwiatowa,Bielany Wrocławskie - Boczna,,22.125,60.625,,22.125,60.625
Bielany Wrocławskie - Kwiatowa,Bielany Wrocławskie - Kwiatowa,,22.125,60.625,,22.125,60.625
Bielany Wrocławskie - Makro,Bielany Wrocławskie - Kościół,,10.5,29.0625,,10.5,29.0625
Bielany Wrocławskie - Makro,Partynice,,11.625,31.5625,,11.625,31.5625
Bielany Wrocławskie - PKP,Bielany Wrocławskie - skrzyżowanie,,11.625,31.5625,,11.625,31.5625
Bielany Wrocławskie - PKP,Ślęza - skrzyżowanie,,10.5,29.0625,,10.5,29.0625
Bielany Wrocławskie - skrzyżowanie,Bielany Wrocławskie - Boczna,,11.625,31.5625,,11.625,31.5625
Bielany Wrocławskie - skrzyżowanie,Bielany Wrocławskie - PKP,,10.5,29.0625,,10.5,29.0625
Bielawa,Piecowice,,2.75,28.75,,2.75,28.75
Bielawa,Raków - osiedle,,,5.5,,0.0,5.5
Bierdzany,Międzyrzecka,,10.5,33.4375,,10.5,33.4375
Bierdzany,Nowy Dom,,9.875,33.75,,9.875,33.75
Bierutowska,Bierutowska 75,,9.375,61.625,,9.375,61.625
Bierutowska,Dobroszycka,,16.5,57.8125,,16.5,57.8125
Bierutowska 75,BIERUTOWSKA (Wiadukt),,9.375,61.625,,9.375,61.625
Bierutowska 75,Bierutowska,,17.625,57.25,,17.625,57.25
Bierzyce,Bierzyce - wieś,,3.25,11.125,,3.25,11.125
Bierzyce,Kępa (na wys. nr 36),,6.625,7.1875,,6.625,7.1875
Bierzyce,Kępa - skrzy.,,2.75,0.25,,2.75,0.25
Bierzyce,Łozina - Milicka/szkoła,,5.5,28.1875,,5.5,28.1875
Bierzyce - wieś,Bierzyce,,2.75,11.625,,2.75,11.625
Bierzyce - wieś,Zaprężyn,,3.25,11.125,,3.25,11.125
Biskupice Podgórne Dongseo/Dong Yang,Biskupice Podgórne LG Chem Energy I,,3.875,9.375,,3.875,9.375
Biskupice Podgórne Dongseo/Dong Yang,Biskupice Podgórne LG Electronics,,9.375,27.25,,9.375,27.25
Biskupice Podgórne LG Chem,Biskupice Podgórne LG Innotek,,13.25,36.625,,13.25,36.625
Biskupice Podgórne LG Chem Energy I,Biskupice Podgórne LG Chem,,13.25,36.625,,13.25,36.625
Biskupice Podgórne LG Electronics,Biskupice Podgórne LG Chem Energy I,,6.625,19.0,,6.625,19.0
Biskupice Podgórne LG Electronics,Partynice,,6.625,14.875,,6.625,14.875
Biskupice Podgórne LG Electronics,Pietrzykowice - zakład,,2.75,8.25,,2.75,8.25
Biskupice Podgórne LG Innotek,Biskupice Podgórne Dongseo/Dong Yang,,13.25,36.625,,13.25,36.625
Blizanowicka,Księska,,13.25,36.5,,13.25,36.5
Blizanowicka,Starodworska,,9.375,38.4375,,9.375,38.4375
Bociania,Gęsia,51.375,,,169.1875,51.375,169.1875
Bociania,KOWALE,55.75,,,167.0,55.75,167.0
Bojanowska,Marszowicka,,18.75,74.625,,18.75,74.625
Bojanowska,Małomicka,,16.0,73.25,,16.0,73.25
Borowa - skrz.,Borowa - skrz.,,2.75,6.875,,2.75,6.875
Borowa - skrz.,Borowa - szkoła,,2.75,5.5,,2.75,5.5
Borowa - skrz.,Byków - Ogrodowa,,,1.375,,0.0,1.375
Borowa - skrz.,Stępin,,,6.875,,0.0,6.875
Borowa - stacja kolejowa,Borowa - szkoła,,,2.75,,0.0,2.75
