stop,lattitude,longitude,zip_code,district,day_weighted_degree
Żerniki,51.12363311,16.92295119,54-510,Fabryczna,70.5
Szczecińska,51.12245085,16.93099623,54-510,Fabryczna,70.5
Strachowicka,51.12351475,16.91906988,54-438,Fabryczna,70.5
Nowy Dwór (Stacja kolejowa),51.11991882,16.95264053,54-440,Fabryczna,70.0
Zagony,51.10087942,16.94224152,54-610,Fabryczna,69.75
PILCZYCKA (Anima),51.13509602,16.96913353,54-144,Fabryczna,69.75
RACŁAWICKA,51.077395,16.983938000000002,53-329,Fabryczna,69.75
Stanisławowska (W.K. Formaty),51.09683833,16.94684781,54-611,Fabryczna,69.375
Muchobór Wielki (Roślinna),51.10176043,16.94397772,54-610,Fabryczna,69.375
Wełniana,51.16084087,16.90522914,54-061,Fabryczna,69.0
Jędrzejowska,51.15836473,16.91688767,54-061,Fabryczna,69.0
Chwałkowska,51.1597972,16.91014067,54-061,Fabryczna,69.0
Kozia,51.15768909,16.92766461,54-104,Fabryczna,67.3125
Suwalska,51.15177226,16.927154100000006,54-117,Fabryczna,64.625
Żelazna,51.09612796,17.01249649,53-443,Fabryczna,63.5
Szybowcowa,51.12938773,16.96521794,54-129,Fabryczna,58.9375
Skarżyńskiego,51.10920961,16.90416773,54-530,Fabryczna,58.0
Graniczna (Strachowicka),51.1108012,16.89857603,50-001,Fabryczna,58.0
Stabłowice,51.15567016,16.89009702,54-058,Fabryczna,57.25
Park Stabłowicki,51.15967745,16.89369002,54-058,Fabryczna,57.25
PRACZE ODRZAŃSKIE,51.17470504,16.90660195,54-067,Fabryczna,56.0625
Hermanowska,51.122238,16.955623000000006,54-314,Fabryczna,56.0
Inżynierska,51.09454012,16.99196391,53-224,Fabryczna,52.875
Krucza (Mielecka),51.09341211,17.00376531,53-410,Fabryczna,52.8125
Piołunowa,51.122669,16.87983,54-530,Fabryczna,49.875
Jerzmanowo (Cmentarz II),51.12319263,16.88278896,54-530,Fabryczna,49.875
NOWY DWÓR (pętla),51.11949152,16.95177714,54-440,Fabryczna,48.0625
Kadłubka,51.07622344,16.96886864,52-424,Fabryczna,47.9375
Bukowskiego,51.076584,16.978213,52-424,Fabryczna,47.6875
Stanki,51.07632585,16.97206692,52-424,Fabryczna,47.6875
Bulwar Dedala,51.12678746,16.96299853,54-129,Fabryczna,47.5625
Stabłowicka,51.17034,16.901628,54-066,Fabryczna,47.375
Rubczaka,51.14419429,16.86596484,54-002,Fabryczna,47.25
RUBCZAKA (Stacja kolejowa),51.14330576,16.86637818,54-002,Fabryczna,47.25
Nowy Dwór (Rogowska),51.11862311,16.95486963,54-440,Fabryczna,46.9375
Gajowicka (szkoła),51.08460418,17.00381203,53-150,Fabryczna,46.625
Krzemieniecka,51.0963781,16.95695002,54-613,Fabryczna,46.5
Trawowa,51.09705874,16.95051131,54-613,Fabryczna,46.3125
Końcowa,51.09582149,16.96245172,54-613,Fabryczna,46.3125
Ostrowskiego,51.0957226,16.97284737,52-007,Fabryczna,46.3125
Rymarska,51.07935,16.991641,53-149,Fabryczna,45.8125
Jerzmanowska nr 9,51.12608266,16.90989177,54-530,Fabryczna,45.5
Jerzmanowska nr 17,51.127417,16.901809,54-519,Fabryczna,45.5
Żernicka,51.125577,16.912368,54-519,Fabryczna,45.5
KOZANÓW (Dokerska),51.14128356,16.96409541,54-151,Fabryczna,44.125
Królewiecka (Park),51.14821678,16.93077497,54-109,Fabryczna,43.125
Królewiecka,51.14526428,16.94642908,54-110,Fabryczna,43.125
Warmińska,51.14647483,16.94019983,54-117,Fabryczna,43.125
Królewiecka (Staw),51.154467,16.924052,54-117,Fabryczna,43.0
Jasińskiej,51.1208448,16.87663945,54-519,Fabryczna,39.5625
GIEŁDOWA (Centrum Hurtu),51.0682,16.969337,52-437,Fabryczna,39.3125
Przybyły,51.10898466,16.91713142,54-516,Fabryczna,39.0
Zagłoby,51.1095419,16.93024823,54-610,Fabryczna,38.75
Graniczna,51.10871787,16.90920429,54-530,Fabryczna,38.75
Rdestowa,51.11127477,16.88805773,54-530,Fabryczna,38.75
Park Tysiąclecia,51.10873561,16.9432753,54-516,Fabryczna,38.5
