stop,day_tram_degree,day_tram_clusterring_coefficient,day_tram_closeness,day_tram_betwennesses,day_tram_page_rank,day_tram_weighted_degree,stop,night_tram_degree,night_tram_clusterring_coefficient,night_tram_closeness,night_tram_betwennesses,night_tram_page_rank,night_tram_weighted_degree,stop,night_bus_degree,night_bus_clusterring_coefficient,night_bus_closeness,night_bus_betwennesses,night_bus_page_rank,night_bus_weighted_degree,stop,night_degree,night_clusterring_coefficient,night_closeness,night_betwennesses,night_page_rank,night_weighted_degree,index,day_degree,day_clusterring_coefficient,day_closeness,day_betwennesses,day_page_rank,day_weighted_degree,stop,day_bus_degree,day_bus_clusterring_coefficient,day_bus_closeness,day_bus_betwennesses,day_bus_page_rank,day_bus_weighted_degree
Park Zachodni,2.0,0.0,0.06773688332028191,0.139803737061433,0.0060067591608549895,167.75,,,,,,,,Wojanowska,2.0,0.0,0.03731526088021556,0.012985143383623172,0.0021447827183271157,4.5,Wojanowska,2.0,0.0,0.03731526088021556,0.012985143383623172,0.0021447827183271157,4.5,BIEŃKOWICE,1,0.0,0.03902173419846636,0.0,0.0006412678483606002,11.375,Wojanowska,2.0,0.0,0.04052491326864096,0.0007089684509039348,0.0009827274386752,25.75
Bardzka,3.0,0.0,0.0742808072133963,0.08979701572792043,0.008608165211067055,137.0,,,,,,,,Arkady (Capitol),5.0,0.04735834432689683,0.08336373586282379,0.0,0.003402750299710268,48.75,Arkady (Capitol),5.0,0.04735834432689683,0.08336373586282379,0.0,0.003402750299710268,48.75,Ziemniaczana,2,0.0,0.0423165871180436,0.0046457481657958145,0.0009482786858996978,23.5,Arena,2.0,0.10592200288878191,0.06861910437595778,0.0,0.0005900219682545156,27.5
Kamienna,2.0,0.0,0.0796134376438104,0.09920688264551687,0.00798517404859832,137.0,,,,,,,,EPI,6.0,0.03003997090799674,0.08178239083750895,0.1660092517946946,0.003973798195117045,58.0,EPI,6.0,0.03003997090799674,0.08178239083750895,0.1660092517946946,0.003973798195117045,58.0,Arachidowa,2,0.0,0.043338036686151986,0.002257898584075588,0.0009712085057453673,25.75,EPI,6.0,0.015404881349013754,0.07358714507440883,0.012924803107131297,0.0013829881167253476,91.75
Krynicka,2.0,0.0,0.06933867735470942,0.03427880091410136,0.005138313941530153,69.0,,,,,,,,Renoma,5.0,0.02053115807606829,0.08513412816691505,0.039662431059413666,0.003029922125196467,41.75,Renoma,5.0,0.02053115807606829,0.08513412816691505,0.039662431059413666,0.003029922125196467,41.75,Olbrachtowska,2,0.0,0.0446474924722251,0.003744213119636137,0.0009876800226239597,25.25,Arkady (Capitol),9.0,0.011987604521229135,0.07629685725104127,0.17739777753803,0.0018053855261135421,172.0625
Nyska,2.0,0.0,0.06933867735470942,0.03427880091410136,0.0051026208229299095,68.0,,,,,,,,pl. Legionów,3.0,0.04008385353614279,0.08179702881689636,0.027160351644976776,0.0023933861150725044,26.0,pl. Legionów,3.0,0.04008385353614279,0.08179702881689636,0.027160351644976776,0.0023933861150725044,26.0,Wojanowska,2,0.0,0.042270828213320226,0.0026450442645585726,0.0008706897978785202,25.75,DWORCOWA,9.0,0.04932689248502028,0.0737419945105215,0.10505371206633478,0.002509568843892064,244.125
Bałtycka,2.0,0.0,0.0889917695473251,0.0003360666756284447,0.004648295956410698,97.375,,,,,,,,pl. Orląt Lwowskich,5.0,0.029117344937408633,0.0855645010297697,0.06665003135117155,0.0028220025495695397,29.0,pl. Orląt Lwowskich,5.0,0.029117344937408633,0.0855645010297697,0.06665003135117155,0.0028220025495695397,29.0,Arena,2,0.07131280388978932,0.07316658158924622,0.0,0.000508153057390929,27.5,GALERIA DOMINIKAŃSKA,12.0,0.051345950810654975,0.07744043043812451,0.15168380007089682,0.0024145968355391055,262.125
Kamieńskiego,5.0,0.0,0.0828544061302682,0.03454765425460411,0.010555978052421443,355.125,,,,,,,,Armii Krajowej,2.0,0.0,0.057203655025660285,0.030231486813313373,0.0021232717404204354,6.0,Armii Krajowej,2.0,0.0,0.057203655025660285,0.030231486813313373,0.0021232717404204354,6.0,EPI,6,0.010371454963339244,0.07884844595214083,0.017356580122911983,0.001113796683266431,91.75,Hallera,11.0,0.005079488406448959,0.07291478197937398,0.2926668002404328,0.002874207560416433,177.5625
Kleczkowska,2.0,0.0,0.09697309417040359,0.011090200295738675,0.004919827683989829,96.5,,,,,,,,KRAKOWSKA (Centrum handlowe),2.0,0.0,0.060553862461905396,0.0344734922645783,0.0020626417854244855,6.0,KRAKOWSKA (Centrum handlowe),2.0,0.0,0.060553862461905396,0.0344734922645783,0.0020626417854244855,6.0,Arkady (Capitol),11,0.014074325286011782,0.08206106870229007,0.4513157538511519,0.002120501273904229,386.3125,Pl. Hirszfelda,3.0,0.0,0.07144123382379011,2.465977220535425e-05,0.0008667929297739844,52.8125
Bociania,2.0,0.0,0.05789825970548862,0.011560693641618498,0.006354292242579472,43.75,,,,,,,,Park Wschodni,2.0,0.0,0.054191865291118226,0.025970286767246345,0.002162677799022263,6.0,Park Wschodni,2.0,0.0,0.054191865291118226,0.025970286767246345,0.002162677799022263,6.0,DWORCOWA,9,0.03750544952400004,0.07942371629109715,0.008909765276010504,0.0015700051414201499,244.125,Rondo,5.0,0.034330243792598664,0.0724103854101159,0.022668495599771896,0.0013911989152681358,95.5625
Gęsia,2.0,0.0,0.06139105748757984,0.022986960612985618,0.0057975919617429175,43.75,,,,,,,,Awicenny,2.0,0.00845665961945032,0.05237222094888838,0.0,0.0011673974627116003,1.0,Awicenny,2.0,0.00845665961945032,0.05237222094888838,0.0,0.0011673974627116003,1.0,GALERIA DOMINIKAŃSKA,16,0.028843177308718354,0.08377983438869946,0.40505049137720983,0.0031358582525567785,582.5,Świdnicka,3.0,0.013647945744096267,0.07736609713956613,0.0027310697717429834,0.0004753304245991628,31.75
KOWALE,1.0,0.0,0.054746835443037975,0.0,0.0035626431686135163,21.875,,,,,,,,Awicenny (Stacja kolejowa),4.0,0.0040056599708529865,0.05525329464393665,0.04102364774079619,0.0016176123483698942,2.0,Awicenny (Stacja kolejowa),4.0,0.0040056599708529865,0.05525329464393665,0.04102364774079619,0.0016176123483698942,2.0,Hallera,13,0.010615757743280982,0.07816050168135963,0.557185207244768,0.0033596707228399146,403.5625,Armii Krajowej (Bogedaina),2.0,0.0,0.052731436048413474,0.0064516129032258064,0.0006138382365414517,21.0625
Braterska,2.0,0.0,0.05455692210659098,0.022986960612985618,0.005929916742951864,70.75,,,,,,,,POCZTA POLSKA,2.0,0.00845665961945032,0.05237222094888838,0.0,0.0011673974627116005,1.0,POCZTA POLSKA,2.0,0.00845665961945032,0.05237222094888838,0.0,0.0011673974627116005,1.0,Pl. Hirszfelda,3,0.0,0.07643764998666785,4.3316999214879387e-05,0.0006587693698038531,52.8125,Park Wschodni,3.0,0.0,0.05371184859389577,0.05850530955720296,0.0013357233950578914,43.8125
Przyjaźni,2.0,0.0,0.05760905760905761,0.03427880091410136,0.00548201158329551,70.75,,,,,,,,Stanisławowska (W.K. Formaty),3.0,0.0051924334018892,0.05576571079926785,0.029607662482245,0.00248968594743369,7.25,Stanisławowska (W.K. Formaty),3.0,0.0051924334018892,0.05576571079926785,0.029607662482245,0.00248968594743369,7.25,Renoma,6,0.05519834723386574,0.08331718659174578,0.00459566288545361,0.0014872341991468822,285.75,Transbud,4.0,0.04169982665672408,0.05516391759633153,0.004340119908142349,0.001668459947219807,97.4375
Sąsiedzka,2.0,0.0,0.051780903920981745,0.011560693641618498,0.006442336128315353,70.75,,,,,,,,Azaliowa,3.0,0.0,0.04432589718719689,0.025979884064647397,0.002709773524392503,11.5,Azaliowa,3.0,0.0,0.04432589718719689,0.025979884064647397,0.002709773524392503,11.5,Rondo,7,0.028206677107837027,0.0775683232614774,0.03877412892221891,0.00212502369515385,309.8125,Awicenny,3.0,0.04705030287204101,0.059182025111975914,0.0,0.0012692024704496054,30.25
Broniewskiego,2.0,0.0,0.08426692644909888,0.04503293453421159,0.0038493735124574074,69.75,,,,,,,,Pawłowice,2.0,0.0,0.042468172102964406,0.004337978425275443,0.0018122058584222097,7.0,Pawłowice,2.0,0.0,0.042468172102964406,0.004337978425275443,0.0018122058584222097,7.0,Zaolziańska,2,0.0,0.07585781070830025,0.0,0.0012369166838305413,214.25,Awicenny (Stacja kolejowa),3.0,0.03258787188109089,0.05704983012457531,0.034189232926960834,0.001225563228282993,34.875
Trzebnicka,3.0,0.0,0.09143763213530655,0.06701169512031187,0.006202867020561558,103.5,,,,,,,,Przedwiośnie (Stacja kolejowa),4.0,0.005392335962712867,0.046320697344415164,0.03454067334638566,0.0027511157267073615,12.0,Przedwiośnie (Stacja kolejowa),4.0,0.005392335962712867,0.046320697344415164,0.03454067334638566,0.0027511157267073615,12.0,pl. Legionów,6,0.03003269555853366,0.08082706766917293,0.002274142458781168,0.001970672247970963,345.75,Jordanowska,7.0,0.0030926834723368503,0.06209553158705701,0.2572414962316785,0.0014169498879372808,21.375
Bujwida,2.0,0.0,0.09579180509413067,0.042613254469686786,0.002399847425331637,31.5,,,,,,,,BARDZKA (Cmentarz),3.0,0.0103848668037784,0.05529340592861464,0.030231486813313373,0.0026164006684944777,7.5,BARDZKA (Cmentarz),3.0,0.0103848668037784,0.05529340592861464,0.030231486813313373,0.0026164006684944777,7.5,Świdnicka,8,0.03600784411454106,0.08355192849509376,0.41697891003600723,0.0015509180350873094,303.625,POCZTA POLSKA,3.0,0.04705030287204101,0.059182025111975914,0.03649800409968713,0.001262697160792381,30.125
Kochanowskiego,3.0,0.0,0.08982346832814123,0.03179190751445087,0.0066349588622191345,100.625,,,,,,,,Buforowa-Rondo,2.0,0.0,0.052474451716614995,0.025970286767246345,0.0019515469256775012,5.0,Buforowa-Rondo,2.0,0.0,0.052474451716614995,0.025970286767246345,0.0019515469256775012,5.0,Armii Krajowej,2,0.122238620295731,0.05866703049321236,0.0,0.0010539093140984866,69.0,Stanisławowska (W.K. Formaty),3.0,0.0,0.05514881970578173,0.031976018371530295,0.0014808833420815624,69.375
PL. GRUNWALDZKI,5.0,0.0,0.10510328068043742,0.19189407178384194,0.009806503498371921,199.875,,,,,,,,GAJ - pętla,4.0,0.014968569320929237,0.058283382221655404,0.086970709048332,0.0022970898937803887,7.0,GAJ - pętla,4.0,0.014968569320929237,0.058283382221655404,0.086970709048332,0.0022970898937803887,7.0,KRAKOWSKA (Centrum handlowe),3,0.04074620676524366,0.06197751513404439,0.03946720090965698,0.001360909708086694,91.75,Azaliowa,3.0,0.0,0.05374049873316442,0.13512013932771294,0.0009699280287810511,3.5
Bzowa (Centrum Zajezdnia),2.0,0.0,0.0720233139050791,0.09322489581933056,0.005825619275286748,131.5,,,,,,,,BARTOSZOWICE,2.0,0.0,0.04977671277638601,0.004347575722676494,0.0017091185718098693,5.0,BARTOSZOWICE,2.0,0.0,0.04977671277638601,0.004347575722676494,0.0017091185718098693,5.0,Park Wschodni,4,0.02037310338262183,0.059009194455880334,0.03610201153315104,0.0017108311947899408,112.8125,Pawłowice,2.0,0.0,0.05106436898124683,0.002049843564570072,0.0008425867764835294,2.25
Hutmen,2.0,0.0,0.06840648477659154,0.08468880225836807,0.0059441768398921235,131.5,,,,,,,,BISKUPIN,2.0,0.0,0.051400292430547743,0.0001199662175131483,0.0013356043367551958,4.0,BISKUPIN,2.0,0.0,0.051400292430547743,0.0001199662175131483,0.0013356043367551958,4.0,Armii Krajowej (Bogedaina),2,0.0,0.05656406208892397,0.0008663399842975877,0.00040920060300241506,21.0625,Przedwiośnie (Stacja kolejowa),3.0,0.0,0.05664488017429194,0.14280474084120648,0.0014741633059649117,32.4375
pl. Srebrny,2.0,0.0,0.07604395604395604,0.10169377604516737,0.005734366185877529,131.5,,,,,,,,Bacciarellego,2.0,0.0,0.048741467576791805,0.008584782525240893,0.0019152372039019496,6.0,Bacciarellego,2.0,0.0,0.048741467576791805,0.008584782525240893,0.0019152372039019496,6.0,Transbud,4,0.02889502195206835,0.05827347879116412,0.005030186533827869,0.00146481011374,132.875,BARDZKA (Cmentarz),3.0,0.05239377988043548,0.050365556458164096,0.0335157128986021,0.0014823491275249199,93.0
Chełmońskiego,2.0,0.0,0.07113486842105263,0.03427880091410136,0.006131604112147654,137.0,,,,,,,,Spółdzielcza,3.0,0.0,0.05415333570328238,0.0013916081231525204,0.0027628965637659774,11.0,Spółdzielcza,3.0,0.0,0.05415333570328238,0.0013916081231525204,0.0027628965637659774,11.0,Awicenny,3,0.03167697862730281,0.0611490329920364,0.0,0.0011838463712023446,30.25,Buforowa-Rondo,3.0,0.04318500994196613,0.04806774809160305,0.031160704652990767,0.001648848302221277,90.375
Piramowicza,2.0,0.0,0.06653846153846153,0.022986960612985618,0.006314842411310575,137.0,,,,,,,,BROCHÓW,2.0,0.0,0.03984654285465167,0.01307151906023264,0.0022774605442994035,5.0,BROCHÓW,2.0,0.0,0.03984654285465167,0.01307151906023264,0.0022774605442994035,5.0,Awicenny (Stacja kolejowa),3,0.02194003562302294,0.05844773684925921,0.03429352681592982,0.0011430509262362627,34.875,GAJ - pętla,5.0,0.057599918931218144,0.05289060962005381,0.042100396097591045,0.0011387933142621178,70.75
Tramwajowa,2.0,0.0,0.0763459841129744,0.04543621454496572,0.006084063816055096,137.0,,,,,,,,Chińska,2.0,0.0,0.04147381795081223,0.017390302890705978,0.002489758133260075,6.0,Chińska,2.0,0.0,0.04147381795081223,0.017390302890705978,0.002489758133260075,6.0,Jordanowska,7,0.0020821729569023137,0.06470057177249473,0.46625605761160893,0.0013157243763469457,21.375,Morwowa,5.0,0.057599918931218144,0.05289060962005381,0.0,0.0020768474634049326,141.25
Chopina,2.0,0.0,0.08297362110311751,0.021239413899717705,0.006458069082204936,100.625,,,,,,,,BROCHÓW (Stacja kolejowa),2.0,0.0,0.04323148235739287,0.021689892126377213,0.002354687855616035,6.0,BROCHÓW (Stacja kolejowa),2.0,0.0,0.04323148235739287,0.021689892126377213,0.002354687855616035,6.0,POCZTA POLSKA,3,0.03167697862730281,0.0611490329920364,0.036459376776673796,0.0011777992257718725,30.125,BARTOSZOWICE,1.0,0.0,0.04622354762860584,0.0,0.0006051393441036536,11.0
Karłowicza,2.0,0.0,0.0773011617515639,0.011493480306492809,0.006540342420791595,100.75,,,,,,,,Topolowa,2.0,0.0,0.0451358024691358,0.025970286767246345,0.002280069957529262,6.0,Topolowa,2.0,0.0,0.0451358024691358,0.025970286767246345,0.002280069957529262,6.0,Stanisławowska (W.K. Formaty),3,0.0,0.056319580877537655,0.03223867666567398,0.0013746878656426844,69.375,Bacciarellego,2.0,0.0,0.04846079846079846,0.0024813895781637717,0.0009865076191898799,22.0
DH Astra,2.0,0.0,0.071843853820598,0.1496168839897836,0.005918095856782111,167.75,,,,,,,,Libelta,3.0,0.0,0.051210219632451814,0.02048383175297835,0.0033697685423452577,12.0,Libelta,3.0,0.0,0.051210219632451814,0.02048383175297835,0.0033697685423452577,12.0,Azaliowa,3,0.0,0.056220173890305286,0.12832390286162926,0.0009091079034065741,3.5,BIERUTOWSKA (Ośrodek zdrowia),2.0,0.04643130240317854,0.05587521663778163,0.0,0.0005300639112351541,10.5
Kwiska,3.0,0.0,0.07641342756183746,0.23995160639870952,0.008338727221903838,237.5,,,,,,,,Bagatela,2.0,0.0,0.0486895376092052,0.004376367614879651,0.0024368142084829746,2.25,Bagatela,2.0,0.0,0.0486895376092052,0.004376367614879651,0.0024368142084829746,2.25,Pawłowice,2,0.0,0.05329367292557476,0.0019465576522186424,0.000789746003083461,2.25,Dobroszycka,3.0,0.015477100801059513,0.056053967591626674,0.11722022717815143,0.001003909915341097,20.0
DWORZEC AUTOBUSOWY,3.0,0.03579775271679992,0.0989136649514008,0.0,0.008104443814070108,180.25,,,,,,,,Redycka,2.0,0.0,0.05116435288849082,0.008733540634957196,0.002236752656851645,2.25,Redycka,2.0,0.0,0.05116435288849082,0.008733540634957196,0.002236752656851645,2.25,Przedwiośnie (Stacja kolejowa),3,0.0,0.05941688544977201,0.13565801229119853,0.0013819702765694097,32.4375,PSIE POLE (Stacja kolejowa),4.0,0.007738550400529756,0.059043293531609406,0.12563845691475425,0.0010889162947717633,33.25
