source,target,night_bus,day_bus,day_tram,night_tram,night,day
Bardzka,Orzechowa,,19.38888888888889,,,,19.38888888888889
Bałtycka,Bezpieczna,23.166666666666668,70.0,,,23.166666666666668,70.0
Bałtycka,Broniewskiego,3.3333333333333335,60.5,,,3.3333333333333335,60.5
Bałtycka,Kamieńskiego,,0.05555555555555555,42.888888888888886,,,42.94444444444444
Bałtycka,Kleczkowska,3.3333333333333335,8.277777777777779,43.666666666666664,,3.3333333333333335,51.94444444444444
Bałtycka,Mochnackiego,,1.2222222222222223,,,,1.2222222222222223
Bałtycka,most Osobowicki,,10.333333333333334,,,,10.333333333333334
Berenta,KROMERA,3.6666666666666665,45.5,,,3.6666666666666665,45.5
Berenta,Kasprowicza,6.5,34.888888888888886,,,6.5,34.888888888888886
Berenta,pl. Daniłowskiego,7.333333333333333,33.333333333333336,,,7.333333333333333,33.333333333333336
Bezpieczna,Paprotna,25.666666666666668,82.38888888888889,,,25.666666666666668,82.38888888888889
Bezpieczna,Różanka,5.333333333333333,44.44444444444444,,,5.333333333333333,44.44444444444444
Białków,Klęka,,0.5555555555555556,,,,0.5555555555555556
Białków,Księginice - skrzyż. Warzyna,,0.5555555555555556,,,,0.5555555555555556
Białych Goździków,KŁOKOCZYCE,,10.222222222222221,,,,10.222222222222221
Białych Goździków,ROD Pod Dębem,,10.333333333333334,,,,10.333333333333334
Bielany Wrocławskie - Boczna,Bielany Wrocławskie - Kościół,,4.333333333333333,,,,4.333333333333333
Bielany Wrocławskie - Boczna,Bielany Wrocławskie - Kwiatowa,,8.222222222222221,,,,8.222222222222221
Bielany Wrocławskie - Boczna,Bielany Wrocławskie - skrzyżowanie,,3.888888888888889,,,,3.888888888888889
Bielany Wrocławskie - Kościół,Bielany Wrocławskie - Boczna,,3.888888888888889,,,,3.888888888888889
Bielany Wrocławskie - Kościół,Bielany Wrocławskie - Makro,,4.333333333333333,,,,4.333333333333333
Bielany Wrocławskie - Kwiatowa,Bielany Wrocławskie - Boczna,,8.222222222222221,,,,8.222222222222221
Bielany Wrocławskie - Kwiatowa,Bielany Wrocławskie - Kwiatowa,,8.222222222222221,,,,8.222222222222221
Bielany Wrocławskie - Makro,Bielany Wrocławskie - Kościół,,3.888888888888889,,,,3.888888888888889
Bielany Wrocławskie - Makro,Partynice,,4.333333333333333,,,,4.333333333333333
Bielany Wrocławskie - PKP,Bielany Wrocławskie - skrzyżowanie,,4.333333333333333,,,,4.333333333333333
Bielany Wrocławskie - PKP,Ślęza - skrzyżowanie,,3.888888888888889,,,,3.888888888888889
Bielany Wrocławskie - skrzyżowanie,Bielany Wrocławskie - Boczna,,4.333333333333333,,,,4.333333333333333
Bielany Wrocławskie - skrzyżowanie,Bielany Wrocławskie - PKP,,3.888888888888889,,,,3.888888888888889
Bielawa,Piecowice,,3.111111111111111,,,,3.111111111111111
Bielawa,Raków - osiedle,,0.4444444444444444,,,,0.4444444444444444
Bierdzany,Międzyrzecka,,4.277777777777778,,,,4.277777777777778
Bierdzany,Nowy Dom,,4.277777777777778,,,,4.277777777777778
Bierutowska,Bierutowska 75,,6.722222222222222,,,,6.722222222222222
Bierutowska,Dobroszycka,,6.666666666666667,,,,6.666666666666667
Bierutowska 75,BIERUTOWSKA (Wiadukt),,6.722222222222222,,,,6.722222222222222
Bierutowska 75,Bierutowska,,6.666666666666667,,,,6.666666666666667
Bierzyce,Bierzyce - wieś,,1.5555555555555556,,,,1.5555555555555556
Bierzyce,Kępa - skrzy.,,1.3333333333333333,,,,1.3333333333333333
Bierzyce,Łozina - Milicka/szkoła,,3.5,,,,3.5
Bierzyce - wieś,Bierzyce,,1.8333333333333333,,,,1.8333333333333333
Bierzyce - wieś,Zaprężyn,,1.5555555555555556,,,,1.5555555555555556
Biskupice Podgórne Dongseo/Dong Yang,Biskupice Podgórne LG Chem Energy I,,1.1111111111111112,,,,1.1111111111111112
Biskupice Podgórne Dongseo/Dong Yang,Biskupice Podgórne LG Electronics,,2.7777777777777777,,,,2.7777777777777777
Biskupice Podgórne LG Chem,Biskupice Podgórne LG Innotek,,3.888888888888889,,,,3.888888888888889
Biskupice Podgórne LG Chem Energy I,Biskupice Podgórne LG Chem,,3.888888888888889,,,,3.888888888888889
