stop,lattitude,longitude,zip_code,district
Zabrodzie - pętla,51.05678879,16.94541198,52-327,Zabrodzie
Bielany Wrocławskie - Kwiatowa,51.032471,16.967816,55-040,Bielany Wrocławskie
Bielany Wrocławskie - Kościół,51.04007248,16.96906153,55-040,Bielany Wrocławskie
Ślęza - autostrada,51.04292743,16.99112337,55-040,Ślęza
Bielany Wrocławskie - skrzyżowanie,51.03909175,16.97094031,55-040,Bielany Wrocławskie
Ślęza - skrzyżowanie,51.0374831,16.98597838,55-040,Ślęza
Bielany Wrocławskie - Makro,51.04667396,16.97036927,55-040,Bielany Wrocławskie
Bielany Wrocławskie - Boczna,51.03737682,16.96816056,55-040,Bielany Wrocławskie
POŚWIĘCKA (Ośrodek zdrowia),51.15649944,17.03209808,51-128,Psie Pole
Wysoka - Radosna,51.04872555,16.99995216,52-200,Wysoka
Bielany Wrocławskie - PKP,51.03757296,16.97735356,55-040,Ślęza
Wysoka - Chabrowa,51.047340000000005,17.006489000000002,52-200,Wysoka
Wysoka - osiedle,51.05101776,17.00189018,52-200,Wysoka
Gazowa,51.07828273,17.06885171,50-513,Krzyki
Ślęza - Dębowa,51.03911972,16.98682975,55-075,Ślęza
Ślęza - Szyszkowa,51.039348600000004,16.98706054,55-040,Ślęza
Kasprowicza,51.137338,17.052893,51-160,Psie Pole
Węgrów (na wys. nr 7),51.264946,17.220334,55-095,Węgrów
Skała - wieś,51.25944976,17.23414903,55-095,Skała
Kępa (na wys. nr 36),51.24043927,17.20006945,55-095,Kępa
Kiełczówek - skrzy. Imbirowa,51.11949041,17.17921285,51-311,Kiełczówek
Wilczyce - Wrocławska (na wys. nr 1F),51.13176789,17.14584939,51-361,Wilczyce
Psary - Wolności,51.186026,17.029555,51-188,Psary
pl. Wyzwolenia,51.141773,16.99168,51-005,Psie Pole
Fabryczna,51.112386,16.983487,53-611,Fabryczna
Otyńska,51.112448,16.977959,54-426,Fabryczna
ŚWINIARY,51.199095,16.974889,51-180,Psie Pole
Pietrzykowice - Wrocławska/Stawowa,51.05552354,16.88244103,55-080,Pietrzykowice
Mokronos Dolny - Parkowa/Stawowa,51.07062,16.938184,55-080,Mokronos Dolny
Jaszkotle - kościół,51.057105,16.901841,55-080,Gądów
Pietrzykowice - zakład,51.04804853,16.88169217,55-080,Pietrzykowice
KRZYŻANOWICE,51.17409242,17.04887768,51-188,Krzyżanowice
Wiaduktowa,51.07521305,17.07640349,52-110,Krzyki
Topolowa,51.06946513,17.08041925,52-110,Krzyki
BROCHÓW (Stacja kolejowa),51.06360482,17.08374373,52-110,Krzyki
SZYMANÓW,51.1941474,17.01884661,51-180,Szymanów
Śliczna,51.08508643,17.03498376,50-551,Krzyki
pl. Orląt Lwowskich,51.10686141,17.02125589,50-048,Stare Miasto
Zielińskiego,51.098521999999996,17.02050515,53-531,Krzyki
Piłsudskiego,51.10182174,17.02475991,53-531,Stare Miasto
KŁOKOCZYCE,51.15696053,17.09628151,51-376,Psie Pole
Świstackiego,51.09900544,17.05013442,50-433,Krzyki
Rakowiecka,51.09710379,17.06767258,50-438,Krzyki
Na Grobli,51.10147358,17.06736263,50-422,Krzyki
Opatowicka nr 85,51.09515536,17.12302758,52-028,Krzyki
Międzyrzecka,51.09436249,17.08236018,50-422,Krzyki
Nowy Dom,51.09340204,17.10706553,52-028,Krzyki
Bierdzany,51.09171676,17.09261703,50-421,Krzyki
OPATOWICE,51.09483363,17.1292184,52-028,Krzyki
Malwowa,51.16692787,17.10998542,51-250,Psie Pole
Poczta Główna,51.1078565,17.04563742,50-529,Krzyki
ZAKRZÓW,51.1624766,17.12512042,51-216,Psie Pole
Okrzei,51.10642824,17.09846396,51-676,Śródmieście
Partyzantów,51.10631317,17.09207313,51-668,Śródmieście
Bacciarellego,51.10543867,17.11165182,51-649,Śródmieście
Swojczyce,51.114581799999996,17.12881622,51-502,Psie Pole
Monopolowa,51.11538529,17.11163429,51-501,Psie Pole
Libelta,51.10945916,17.10841757,51-681,Śródmieście
Miłoszycka,51.11694191,17.1262475,51-503,Psie Pole
Zagrodnicza,51.10673046,17.14323522,51-511,Psie Pole
Smocza,51.10335599,17.15474216,51-511,Psie Pole
Strumykowa,51.10140931,17.15771109,51-518,Psie Pole
Ceglana,51.12108913,17.12084239,51-502,Psie Pole
Śniadeckich,51.11978379,17.07746295,51-602,Śródmieście
Zacisze,51.12435183,17.07782182,51-601,Śródmieście
Dolnobrzeska,51.15501757,16.85941441,54-020,Fabryczna
Pola,51.13671695,17.04317468,51-137,Psie Pole
Redycka,51.1486843,17.075569899999998,51-168,Psie Pole
Różanka,51.13939941,17.02111603,51-112,Psie Pole
Las Osobowicki,51.14781589,16.98421285,51-003,Psie Pole
Jarocińska,51.14192034,16.99060405,51-001,Psie Pole
OSOBOWICKA (Cmentarz),51.13545586,17.004256299999998,51-110,Psie Pole
Paprotna,51.14775215,17.02053929,51-114,Psie Pole
Irysowa,51.1506472,17.01789533,51-114,Psie Pole
Ostowa,51.16219634,17.00336693,51-180,Psie Pole
LIPA PIOTROWSKA,51.17274893,16.99508019,51-180,Psie Pole
Lekarska,51.16043099,17.02736557,51-129,Psie Pole
Żmigrodzka (Obwodnica),51.15433667,17.02810627,51-131,Psie Pole
Krzelowska,51.17746152,16.87860036,54-079,Fabryczna
Widawa,51.17530737,17.02277559,51-180,Psie Pole
Jutrosińska,51.14636193,17.04188263,51-124,Psie Pole
Ługowa,51.15877896,17.04443946,51-126,Psie Pole
Kątowa,51.15619424,17.04438343,51-124,Psie Pole
POLANOWICE,51.16226577,17.04579925,51-180,Psie Pole
Zielna,51.14511355,17.1072601,51-310,Psie Pole
Kopańskiego,51.15453338,17.11896705,51-662,Psie Pole
Azaliowa,51.16417141,17.111936399999998,51-253,Psie Pole
Marszowice,51.16686502,16.89012427,54-078,Fabryczna
Piwnika - Ponurego,51.14950542,17.11105232,51-321,Psie Pole
Królewska,51.15558313,17.12901857,51-206,Psie Pole
Bojanowska,51.16512925,16.88135829,54-078,Fabryczna
KIEŁCZOWSKA (LZN),51.14658034,17.12473187,51-315,Psie Pole
Kiełczowska,51.14552316,17.13706342,51-315,Psie Pole
Kowieńska,51.14293436,17.13440983,51-351,Psie Pole
Gorlicka,51.143809499999996,17.11937899,51-314,Psie Pole
Palacha,51.14049945,17.12631935,51-350,Psie Pole
Polkowicka,51.15526292,16.87306982,54-078,Fabryczna
Kiełczów - osiedle,51.132544200000005,17.17250844,55-093,Kiełczów
KUŹNIKI (Stacja kolejowa),51.12621515,16.95508704,54-129,Fabryczna
Przybyły,51.10898466,16.91713142,54-516,Fabryczna
Wolska,51.146661,16.869355,54-076,Fabryczna
Mokra,51.17146013,16.83774388,54-074,Fabryczna
Jędrzejowska,51.15836473,16.91688767,54-061,Fabryczna
Park Stabłowicki,51.15967745,16.89369002,54-058,Fabryczna
Stabłowice,51.15567016,16.89009702,54-058,Fabryczna
Ciechocińska,51.152764000000005,16.884055,54-055,Fabryczna
Śnieżna,51.14968428,16.87935804,54-056,Fabryczna
Zajezdnia Obornicka,51.14873744,17.02106859,51-114,Psie Pole
Malinowa,51.06671774,17.01055621,53-010,Krzyki
PRACZE ODRZAŃSKIE (Stacja kolejowa),51.171395700000005,16.9024931,54-066,Fabryczna
Kowale (Stacja kolejowa),51.13393676,17.10221243,51-424,Psie Pole
Mikołowska,51.11175155,17.136499399999998,51-515,Psie Pole
STABŁOWICKA (Ośrodek zdrowia),51.16683326,16.89859871,54-066,Fabryczna
Oboźna,51.05829838,17.03259791,52-244,Krzyki
Śliwowa,51.15490008,16.93899342,54-107,Fabryczna
Chwałkowska,51.1597972,16.91014067,54-061,Fabryczna
Warmińska,51.14647483,16.94019983,54-117,Fabryczna
Arena,51.09502826,17.02726149,53-342,Krzyki
Kowalska,51.12901131,17.11362994,51-424,Psie Pole
