stop,lattitude,longitude,zip_code,district
Jarzębinowa,51.08129657,17.01656596,53-134,Krzyki
IWINY - pętla,51.04231,17.072276000000002,52-116,Iwiny
Wyścigowa,51.06970634,17.01205044,53-006,Krzyki
Iwiny - Kolejowa,51.04043197,17.07521438,52-116,
Hippiczna,51.06794444,17.00885402,53-011,Krzyki
BLIZANOWICE,51.07011,17.157232999999998,50-458,Blizanowice
KOSZAROWA (Uniwersytet),51.14049516,17.06847989,51-149,Psie Pole
Narodowe Forum Muzyki,51.107898999999996,17.026294,50-043,Stare Miasto
Jarnołtowska (Samotworska),51.12008386,16.85024756,54-530,Fabryczna
Samotworska,51.11824079,16.84750134,54-530,Fabryczna
Biskupice Podgórne LG Innotek,51.01838302,16.88883209,55-040,Biskupice Podgórne
Biskupice Podgórne LG Chem,51.015921999999996,16.886978,55-040,
Partynice,51.06154956,16.99764462,53-015,Krzyki
Bulwar Dedala,51.12678746,16.96299853,54-129,Fabryczna
Sudecka,51.08566549,17.01660936,53-128,Krzyki
Psie Pole (Rondo Lotników Polskich),51.14714,17.114363,51-310,Psie Pole
Psary - Szkoła,51.186704999999996,17.031851,51-188,Psary
Krępice,51.153186,16.816681,55-330,Wrocław
Rondo Obrońców Grodna,51.16475786,17.02767914,51-180,Psie Pole
Strachowskiego,51.0582375,17.01565182,52-210,Krzyki
Bzowa (Centrum Zajezdnia),51.09750864,16.99130994,53-503,Fabryczna
Krucza (Mielecka),51.09341211,17.00376531,53-410,Fabryczna
Godebskiego (AWF Wrocław),51.11377088,17.09846129,51-620,Śródmieście
Kromera (Czajkowskiego),51.13557581,17.06907505,51-163,Psie Pole
Wilkszyn (pętla),51.191886,16.862751,55-330,
Ołtaszyn,51.05680038,17.02227718,52-210,Krzyki
Wilkszyn - Miłoszyn,51.1827212,16.8725008,55-330,Wilkszyn
GAŁÓW (pętla),51.11189,16.810629000000002,55-330,Gałów
Pisarzowice - Odrzańska,51.2052389,16.8525611,55-330,Pisarzowice
Pisarzowice - Graniczna,51.196822999999995,16.8549944,55-330,Pisarzowice
Rymarska,51.07935,16.991641,53-149,Fabryczna
Krasińskiego,51.10585896,17.04334082,50-450,Krzyki
Kurpiów,51.05488165,17.02661079,52-214,Krzyki
DWORZEC GŁÓWNY,51.09918778,17.03433441,50-018,Stare Miasto
Dworzec Główny (Stawowa),51.09941,17.033499,50-023,Stare Miasto
Słonimskiego,51.130614,17.045078,50-304,Psie Pole
Zakładowa,51.12991454,17.03836452,50-304,Psie Pole
Tymiankowa,51.17578884,16.99366911,51-180,Psie Pole
